,name,direct,etc,actor,mold,time,length,grade
40,"秋寒江南,(2020)","导演,罗仪威","编剧,罗仪威,庹政","主演,孙健淇,刁秋语,刘语乔,吴一凡,汤维文,张歌,杨舒枫,李雨蔓","剧情,动作,武侠",20200308(中国大陆),105分钟,5.8
41,"卡丁赛车王 Go!,(2020)","导演,欧文·特雷弗","编剧,Steve Worland","主演,弗兰西丝·奥康纳,理查德·劳斯伯格,丹·威利,Cooper van Grootel,达米安·德·蒙特马斯,亚当·T·帕金斯,Jack Connell,William Lodder,Anastasia Bampos,西蒙·洛克伍德,Darius Amarfio Jefferson,Sonia Borella,Rhys Lander,Riley Papalia,Gus Worland","剧情,运动","20200116(澳大利亚),20200313(Netflix)",102分钟,6.3
42,"大赢家,(2020)","导演,于淼","编剧,李潇,于淼,王思","主演,大鹏,柳岩,代乐乐,张子贤,田雨,孟鹤堂,陶慧,许娣,王戈,杜源,阿如那,张绍荣,张帆,夏甄,杨砚铎,臧鸿飞,李萍,乔晟一,孟非,屈菁菁,腾格尔,叶晞月,杜维瀚",喜剧,20200320(中国大陆),97分钟,6.8
43,"小妇人 Little Women,(2019)","导演,格蕾塔·葛韦格","编剧,格蕾塔·葛韦格,路易莎·梅·奥尔科特","主演,西尔莎·罗南,艾玛·沃森,佛罗伦斯·珀,伊莱扎·斯坎伦,劳拉·邓恩,蒂莫西·柴勒梅德,梅丽尔·斯特里普,鲍勃·奥登科克,詹姆斯·诺顿,路易·加瑞尔,克里斯·库珀,崔西·莱茨,艾比·奎因,萨沙·弗若洛娃,莉莉·恩格勒特,爱德华德·弗莱彻,杰妮·霍蒂谢尔,多梅尼克·阿尔迪诺,汤姆·斯特拉特福,托马斯·马里亚诺,哈德莉·罗宾逊,杰米·加扎里安","剧情,爱情","2020(中国大陆),20191225(美国)",135分钟,8.1
44,"1917,(2019)","导演,萨姆·门德斯","编剧,萨姆·门德斯,克里斯蒂·威尔逊凯恩斯","主演,乔治·麦凯,迪恩·查尔斯·查普曼,科林·费尔斯,本尼迪克特·康伯巴奇,马克·斯特朗,理查德·麦登,安德鲁·斯科特,丹尼尔·梅斯,阿德里安·斯卡伯勒,约翰·霍林沃思,克里斯·瓦利,杰米·帕克,罗伯特‧马瑟,贾斯汀·爱德华兹,理查德·麦凯布,理查德·德姆西,安森·布恩,雅各布·詹姆斯·贝西克,特蕾莎·马奥尼,皮普·卡特,保罗·廷托,安迪·阿波罗,约瑟夫·戴维斯,比利·波斯特莱斯韦特,加布里埃尔·阿库乌迪克,斯派克·莱顿,亚当·赫吉尔,纳巴汉·里兹万,克莱尔·迪比尔克,乔纳·罗素,迈克尔·吉普森,格伦·霍威尔","剧情,战争","2020(中国大陆),20191225(美国),20200110(英国)",119分钟,8.5
45,"逃离比勒陀利亚 Escape from Pretoria,(2020)","导演,弗朗西斯·安南","编剧,弗朗西斯·安南,L·H·亚当斯,卡罗尔·格里菲思,蒂姆·詹金","主演,丹尼尔·雷德克里夫,伊恩·哈特,丹尼尔·韦伯,内森·佩吉,斯蒂芬·亨特,马克·伦纳德·温特,珍妮特·克罗宁,Ratidzo Mambo,Martin Ayles,David Wilson,Adam Ovadia,PJ Oaten,Lliam Amor,Paul Harvey,Lenny Firth","剧情,犯罪",20200306(英国),106分钟,7.6
46,"南山的部长们 남산의 부장들,(2020)","导演,禹民镐","编剧,禹民镐,李智敏","主演,李秉宪,李星民,郭度沅,李熙俊,金素真,徐贤宇,朴智一,李泰亨,金昇勋,金明善,朴成根,郑钟宇,金民尚,周锡泰,成民秀,赵惠珠,孙炳旭,朴炫宇,严志满,柳正浩",剧情,20200122(韩国),114分钟,8.1
47,"狩猎 The Hunt,(2020)","导演,克雷格·卓贝","编剧,尼克·库斯,达蒙·林德洛夫","主演,贝蒂·吉尔平,希拉里·斯万克,艾玛·罗伯茨,贾斯汀·哈特雷,伊克·巴里霍尔兹,格伦·豪尔顿,埃米·马迪根,梅肯·布莱尔,特瑞·韦伯,斯蒂芬·考特尔,韦恩·杜瓦尔,J.C.麦肯泽,里德·伯尼,汉斯·马雷罗,胡安·贾斯帕,汉娜·艾琳,吉姆·克洛克,西尔维娅·格雷丝·克里姆,迪恩·J·韦斯特,内德·尤瑟夫","动作,惊悚",20200313(美国),89分钟,7.1
48,"误杀,(2019)","导演,柯汶利","编剧,杨薇薇,翟培,李鹏,范凯华,秦语谦,雷声","主演,肖央,谭卓,陈冲,姜皓文,秦沛,边天扬,许文姗,张熙然,施名帅,黄健玮","剧情,悬疑,犯罪","20191213(中国大陆),20191207(大规模点映)",112分钟,7.7
49,"小丑 Joker,(2019)","导演,托德·菲利普斯","编剧,托德·菲利普斯,斯科特·西尔弗,鲍勃·凯恩,比尔·芬格,杰瑞·罗宾逊","主演,华金·菲尼克斯,罗伯特·德尼罗,马克·马龙,莎姬·贝兹,谢伊·惠格姆,弗兰西丝·康罗伊,布莱恩·考伦,布莱恩·泰里·亨利,布莱特·卡伦,道格拉斯·霍奇斯,格伦·弗莱施勒,比尔·坎普,乔什·帕斯,但丁·佩雷拉奥尔森,玛丽·凯特·马拉特,迈克尔·本茨,莎珑·华盛顿,桑德拉·詹姆斯,托尼·赫德,曼德拉·贝拉米,乔·奥克曼,卡尔·伦德施泰特,米克·奥罗克,大卫·吉布森,伊万·罗萨多,安妮·比萨比亚,布莱斯·科里根,乔恩·道格拉斯·雷尼,艾恩斯利·丹恩,杰森·约翰·奇卡莱塞","剧情,惊悚,犯罪","20190831(威尼斯电影节),20191004(美国)",122分钟,8.7
50,"寄生虫 기생충,(2019)","导演,奉俊昊","编剧,奉俊昊,韩进元","主演,宋康昊,李善均,赵汝贞,崔宇植,朴素丹,李静恩,张慧珍,郑知晓,朴明勋,朴叙俊,朴根祿,郑贤俊,朴孝新,安德烈亚斯·弗龙克","剧情,喜剧","20190521(戛纳电影节),20190530(韩国)",132分钟,8.7
51,"黑水 Dark Waters,(2019)","导演,托德·海因斯","编剧,纳撒尼尔·里奇,马里奥·科雷亚,马修·迈克尔·卡纳汉","主演,马克·鲁弗洛,安妮·海瑟薇,蒂姆·罗宾斯,比尔·坎普,维克多·加博,比尔·普尔曼,梅尔·温宁汉姆,威廉·杰克森·哈珀,路易莎·克劳瑟,凯文·克劳利,丹尼尔·R·希尔,王明,西尼·迈尔斯,马克·霍克尔,考特尼·德科斯基,斯嘉丽·希克斯,布莱恩·加拉格尔,约翰·纽伯格,莱曼·陈,丹妮丝·达·维拉,杰弗里·格罗弗,泰里·克拉克,杰夫·福尔克,温·赖克特,乔恩·奥斯贝克,理查德·杜恩,迈克尔·海尼,大卫·皮廷格",剧情,"20191122(美国点映),20191206(美国)",126分钟,8.5
52,"乔乔的异想世界 Jojo Rabbit,(2019)","导演,塔伊加·维迪提","编剧,塔伊加·维迪提,克里斯汀·勒南斯","主演,罗曼·格里芬·戴维斯,托马辛·麦肯齐,斯嘉丽·约翰逊,塔伊加·维迪提,山姆·洛克威尔,蕾蓓尔·威尔森,阿尔菲·艾伦,斯戴芬·莫昌特,阿奇·耶茨,卢克·布兰登·菲尔德,山姆·海加斯,史丹斯拉夫·卡拉斯,乔·温特劳布,布莱恩·卡斯佩,加布里埃尔·安德鲁斯,罗伯特·伊斯特,比利·雷纳,克里斯蒂安·豪林斯,吉尔比·格里芬·戴维斯,哈迪·格里芬·戴维斯,柯蒂斯·马修,贝萨尼·亚当斯,朱迪思·乔治,维多利亚·霍根","剧情,喜剧,战争","20200403(中国大陆),20190908(多伦多电影节),20191108(美国)",108分钟,8.4
53,"猛禽小队和哈莉·奎茵 Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020)","导演,阎羽茜","编剧,克里斯蒂娜·霍德森,查克·狄克逊,乔丹·B·戈芬克尔,格雷格·兰德","主演,玛格特·罗比,玛丽·伊丽莎白·温斯特德,罗茜·佩雷兹,朱尼·斯莫利特,伊万·麦克格雷格,埃拉·杰伊·巴斯科,克里斯·梅西纳,黄阿丽,戴维·尤里,萨拉·蒙特斯,伊莎贝尔·帕克扎德,丹尼尔·伯哈特,帕洛马·拉比诺夫,德里克·威尔逊,乔·布卡罗三世,弗朗克西斯·周,布鲁诺·奥利弗,马修·维利希,杰里米·丹茨林格,迈克尔·马西尼,杰西·布什,史蒂文·威廉姆斯,夏洛林·阿莫亚,罗伯特·卡特里尼,埃迪·阿尔法诺,普拉莫德库马尔,K.K. 巴雷特,西蒙·瑞,凯莱布·斯比尔亚兹,萨拉·贝克,埃夫卡·科瓦拉西尤斯,山姆·哈格雷夫,丹尼斯·基弗,博亚娜·诺瓦科维奇,埃里克·迈克尔·科尔,提姆·里格比,大卫·安东尼·布廖内,杰拉德·唐尼,埃迪·J.费尔南德斯,尼科·格莱瑟姆,朱迪·凯恩,杰夫·里帕瑞,詹妮尔·麦基,伊戈·米基塔斯,安东尼·莫利纳利,迪索·拉莫斯,凯伦·特利哈","动作,犯罪,冒险",20200207(美国),109分钟,5.8
54,"82年生的金智英 82년생 김지영,(2019)","导演,金度英","编剧,刘英雅,金度英,赵南柱","主演,郑有美,孔侑,金美京,孔敏晶,朴成妍,李凤莲,金圣喆,李乌,孙成灿,金正英,李海云,李娜云,禹志贤,艺秀晶,廉惠兰",剧情,"20191107(中国香港),20191023(韩国)",118分钟,8.6
55,"绅士们 The Gentlemen,(2020)","导演,盖·里奇","编剧,盖·里奇,伊凡·阿特金森,马恩·戴维斯","主演,马修·麦康纳,查理·汉纳姆,亨利·戈尔丁,米歇尔·道克瑞,杰瑞米·斯特朗,科林·法瑞尔,休·格兰特,琳·勒内,马克斯·班内特,布列塔尼·阿什沃思,伊川东吾,尤金娜·库日敏娜,乔丹·朗,杰森·王,可可·萨姆纳,拉塞尔·巴洛格,布鲁斯·钟,塞尔哈特·梅汀,杰森· 莱恩斯,奇迪·阿朱福,莉莉·弗雷泽,克里斯托弗·埃万格罗","剧情,喜剧,犯罪",20200124(美国),113分钟,8.3
56,"热带雨,(2019)","导演,陈哲艺","编剧,陈哲艺","主演,杨雁雁,许家乐,李铭顺,杨世彬",剧情,"20190908(多伦多电影节),20191128(新加坡)",103分钟,7.7
57,"少年的你,(2019)","导演,曾国祥","编剧,林咏琛,李媛,许伊萌","主演,周冬雨,易烊千玺,尹昉,周也,吴越,黄觉,张艺凡,张耀,张歆怡,赵润南,郜玄铭,谢欣桐,刘然,何廖侣匀,胖虎,罗俊林","剧情,爱情,犯罪","20191025(中国大陆),20200325(中国大陆重映)",135分钟,8.3
58,"燃烧女子的肖像 Portrait de la jeune fille en feu,(2019)","导演,瑟琳·席安玛","编剧,瑟琳·席安玛","主演,诺米·梅兰特,阿黛拉·哈内尔,卢安娜·巴杰拉米,瓦莱丽亚·戈利诺,Christel Baras,阿曼德·博兰格,Guy Delamarche,Clément Bouyssou,米歇尔·克莱门特,Cécile Morel","剧情,同性,历史","20190519(戛纳电影节),20190918(法国)",120分钟,8.6
59,"利刃出鞘 Knives Out,(2019)","导演,莱恩·约翰逊","编剧,莱恩·约翰逊","主演,丹尼尔·克雷格,安娜·德·阿玛斯,克里斯·埃文斯,杰米·李·柯蒂斯,迈克尔·珊农,唐·约翰逊,托妮·科莱特,勒凯斯·斯坦菲尔德,克里斯托弗·普卢默,凯瑟琳·兰福德,杰登·马泰尔,瑞琪·琳德赫姆,艾迪·帕特森,弗兰克·奥兹,K·卡兰,诺阿·西甘,M·埃梅特·沃尔什,玛琳娜·福特,劳尔·卡斯提洛,雪莉·罗德里格斯,约瑟夫·高登莱维特,加布里埃尔·洛莱斯","剧情,喜剧,悬疑,犯罪","20191129(中国大陆),20190907(多伦多电影节),20191127(美国)",130分钟,8.2
