,name,direct,etc,actor,mold,time,length,grade
30,"小丑 Joker,(2019)","导演,托德·菲利普斯","编剧,托德·菲利普斯,斯科特·西尔弗,鲍勃·凯恩,比尔·芬格,杰瑞·罗宾逊","主演,华金·菲尼克斯,罗伯特·德尼罗,马克·马龙,莎姬·贝兹,谢伊·惠格姆,弗兰西丝·康罗伊,布莱恩·考伦,布莱恩·泰里·亨利,布莱特·卡伦,道格拉斯·霍奇斯,格伦·弗莱施勒,比尔·坎普,乔什·帕斯,但丁·佩雷拉奥尔森,玛丽·凯特·马拉特,迈克尔·本茨,莎珑·华盛顿,桑德拉·詹姆斯,托尼·赫德,曼德拉·贝拉米,乔·奥克曼,卡尔·伦德施泰特,米克·奥罗克,大卫·吉布森,伊万·罗萨多,安妮·比萨比亚,布莱斯·科里根,乔恩·道格拉斯·雷尼,艾恩斯利·丹恩,杰森·约翰·奇卡莱塞","剧情,惊悚,犯罪","20190831(威尼斯电影节),20191004(美国)",122分钟,8.7
31,"寄生虫 기생충,(2019)","导演,奉俊昊","编剧,奉俊昊,韩进元","主演,宋康昊,李善均,赵汝贞,崔宇植,朴素丹,李静恩,张慧珍,郑知晓,朴明勋,朴叙俊,朴根祿,郑贤俊,朴孝新,安德烈亚斯·弗龙克","剧情,喜剧","20190521(戛纳电影节),20190530(韩国)",132分钟,8.7
32,"黑水 Dark Waters,(2019)","导演,托德·海因斯","编剧,纳撒尼尔·里奇,马里奥·科雷亚,马修·迈克尔·卡纳汉","主演,马克·鲁弗洛,安妮·海瑟薇,蒂姆·罗宾斯,比尔·坎普,维克多·加博,比尔·普尔曼,梅尔·温宁汉姆,威廉·杰克森·哈珀,路易莎·克劳瑟,凯文·克劳利,丹尼尔·R·希尔,王明,西尼·迈尔斯,马克·霍克尔,考特尼·德科斯基,斯嘉丽·希克斯,布莱恩·加拉格尔,约翰·纽伯格,莱曼·陈,丹妮丝·达·维拉,杰弗里·格罗弗,泰里·克拉克,杰夫·福尔克,温·赖克特,乔恩·奥斯贝克,理查德·杜恩,迈克尔·海尼,大卫·皮廷格",剧情,"20191122(美国点映),20191206(美国)",126分钟,8.5
33,"乔乔的异想世界 Jojo Rabbit,(2019)","导演,塔伊加·维迪提","编剧,塔伊加·维迪提,克里斯汀·勒南斯","主演,罗曼·格里芬·戴维斯,托马辛·麦肯齐,斯嘉丽·约翰逊,塔伊加·维迪提,山姆·洛克威尔,蕾蓓尔·威尔森,阿尔菲·艾伦,斯戴芬·莫昌特,阿奇·耶茨,卢克·布兰登·菲尔德,山姆·海加斯,史丹斯拉夫·卡拉斯,乔·温特劳布,布莱恩·卡斯佩,加布里埃尔·安德鲁斯,罗伯特·伊斯特,比利·雷纳,克里斯蒂安·豪林斯,吉尔比·格里芬·戴维斯,哈迪·格里芬·戴维斯,柯蒂斯·马修,贝萨尼·亚当斯,朱迪思·乔治,维多利亚·霍根","剧情,喜剧,战争","20200403(中国大陆),20190908(多伦多电影节),20191108(美国)",108分钟,8.4
34,"猛禽小队和哈莉·奎茵 Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020)","导演,阎羽茜","编剧,克里斯蒂娜·霍德森,查克·狄克逊,乔丹·B·戈芬克尔,格雷格·兰德","主演,玛格特·罗比,玛丽·伊丽莎白·温斯特德,罗茜·佩雷兹,朱尼·斯莫利特,伊万·麦克格雷格,埃拉·杰伊·巴斯科,克里斯·梅西纳,黄阿丽,戴维·尤里,萨拉·蒙特斯,伊莎贝尔·帕克扎德,丹尼尔·伯哈特,帕洛马·拉比诺夫,德里克·威尔逊,乔·布卡罗三世,弗朗克西斯·周,布鲁诺·奥利弗,马修·维利希,杰里米·丹茨林格,迈克尔·马西尼,杰西·布什,史蒂文·威廉姆斯,夏洛林·阿莫亚,罗伯特·卡特里尼,埃迪·阿尔法诺,普拉莫德库马尔,K.K. 巴雷特,西蒙·瑞,凯莱布·斯比尔亚兹,萨拉·贝克,埃夫卡·科瓦拉西尤斯,山姆·哈格雷夫,丹尼斯·基弗,博亚娜·诺瓦科维奇,埃里克·迈克尔·科尔,提姆·里格比,大卫·安东尼·布廖内,杰拉德·唐尼,埃迪·J.费尔南德斯,尼科·格莱瑟姆,朱迪·凯恩,杰夫·里帕瑞,詹妮尔·麦基,伊戈·米基塔斯,安东尼·莫利纳利,迪索·拉莫斯,凯伦·特利哈","动作,犯罪,冒险",20200207(美国),109分钟,5.8
35,"82年生的金智英 82년생 김지영,(2019)","导演,金度英","编剧,刘英雅,金度英,赵南柱","主演,郑有美,孔侑,金美京,孔敏晶,朴成妍,李凤莲,金圣喆,李乌,孙成灿,金正英,李海云,李娜云,禹志贤,艺秀晶,廉惠兰",剧情,"20191107(中国香港),20191023(韩国)",118分钟,8.6
36,"绅士们 The Gentlemen,(2020)","导演,盖·里奇","编剧,盖·里奇,伊凡·阿特金森,马恩·戴维斯","主演,马修·麦康纳,查理·汉纳姆,亨利·戈尔丁,米歇尔·道克瑞,杰瑞米·斯特朗,科林·法瑞尔,休·格兰特,琳·勒内,马克斯·班内特,布列塔尼·阿什沃思,伊川东吾,尤金娜·库日敏娜,乔丹·朗,杰森·王,可可·萨姆纳,拉塞尔·巴洛格,布鲁斯·钟,塞尔哈特·梅汀,杰森· 莱恩斯,奇迪·阿朱福,莉莉·弗雷泽,克里斯托弗·埃万格罗","剧情,喜剧,犯罪",20200124(美国),113分钟,8.3
37,"热带雨,(2019)","导演,陈哲艺","编剧,陈哲艺","主演,杨雁雁,许家乐,李铭顺,杨世彬",剧情,"20190908(多伦多电影节),20191128(新加坡)",103分钟,7.7
38,"少年的你,(2019)","导演,曾国祥","编剧,林咏琛,李媛,许伊萌","主演,周冬雨,易烊千玺,尹昉,周也,吴越,黄觉,张艺凡,张耀,张歆怡,赵润南,郜玄铭,谢欣桐,刘然,何廖侣匀,胖虎,罗俊林","剧情,爱情,犯罪","20191025(中国大陆),20200325(中国大陆重映)",135分钟,8.3
39,"燃烧女子的肖像 Portrait de la jeune fille en feu,(2019)","导演,瑟琳·席安玛","编剧,瑟琳·席安玛","主演,诺米·梅兰特,阿黛拉·哈内尔,卢安娜·巴杰拉米,瓦莱丽亚·戈利诺,Christel Baras,阿曼德·博兰格,Guy Delamarche,Clément Bouyssou,米歇尔·克莱门特,Cécile Morel","剧情,同性,历史","20190519(戛纳电影节),20190918(法国)",120分钟,8.6
