,name,addr,letter,deputy,punish,law,genre,genre2,basis,subtance,gear,date,time,status
17,,,	,,,,,,,,,,	,
18,安徽蚌埠市三和纸箱机械有限公司,"蚌埠市兴华路,617,号",913403005518480755	,年福东,"皖统罚决字〔,2019,〕,38,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,150000,元",安徽省统计局,20191112,2019111220201111	,正常
19,凯盛科技股份有限公司,"蚌埠市高新技术开发区黄山大道,8009,号",913403007199576633	,鲍兆臣,"皖统罚决字〔,2019,〕,37,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,"警告并罚款,100000,元",安徽省统计局,20191112,2019111220201111	,正常
20,红河聚泰矿业有限公司,云南省红河州建水县普雄乡七棵树村委会落水洞村,91532524086365157D	,刘正军,"国统执罚决字〔,2019,〕第,405,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,138000,元",国家统计局,2019125,20191252020124	,正常
21,建水陶园三杰紫陶文化有限公司,云南省红河州建水县临安镇马军村委会山塘边（建亚冷库内）,91532524054672435D	,张健,"国统执罚决字〔,2019,〕第,404,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,115000,元",国家统计局,2019125,20191252020124	,正常
22,红河火宝文化产业有限公司,"云南省红河哈尼族彝族自治州建水县临安镇福康路,33,号福润街,P2,幢,13,号,205,室",915325245577667403	,李春光,"国统执罚决字〔,2019,〕第,403,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,200000,元",国家统计局,2019125,20191252020124	,正常
23,泸西县扩铂贵金属有限公司,云南省红河州泸西县工业园无浪重化工片区,91532527323111936B	,袁建良,"国统执罚决字〔,2019,〕第,402,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,125000,元",国家统计局,2019125,20191252020124	,正常
24,云南泸西县龙威农业发展有限责任公司,云南省红河哈尼族彝族自治州泸西县白水镇卫民村,91532527690891559X	,李永贵,"国统执罚决字〔,2019,〕第,401,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,120000,元",国家统计局,2019125,20191252020124	,正常
25,云南宏升蔬菜种植发展有限责任公司,云南省红河州泸西县中枢镇逸圃村,91532527064292452Q	,罗培鑫,"国统执罚决字〔,2019,〕第,400,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款（第二项）、第二款，《中华人民共和国统计法实施条例》第五十条（第三项）,"警告并处罚款,140000,元",国家统计局,2019125,20191252020124	,正常
26,兰州双信塑料橡胶厂,"甘肃省兰州市城关区青白石街道白道坪工业园,99,号",91620102224446319C	,张吉祥,"甘统行决字〔,2019,〕,34,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,警告并罚款壹拾贰万元整,甘肃省统计局,201985,20198122020811	,正常
